,protein
498,2qtdA
499,3d6wA
500,2wp7A
501,4wqnA
502,2ex2A
503,2trcP
504,4j8cA
505,3m8jA
506,4bj0A
507,1vqoX
508,1f3uB
509,5yo8B
510,2fwhA
511,4ly4A
512,4qn1A
513,6qlcA
514,6sjqA
515,3fanA
516,1vchA
517,2q3sA
518,2dchX
519,1v2zA
520,4u5wC
521,6rk0A
522,4kf9A
523,6b9xA
524,2axwA
525,1qgrB
526,1otkA
527,4icvA
528,2zxeG
529,3rpdA
530,4ct0B
531,5lnbB
532,6anwB
533,4n9gC
534,3l9aX
535,5mznA
536,4fcaA
537,4z8tA
538,4u5qA
539,6nggB
540,6ccaA
541,3c3dA
542,4o06A
543,3lgiA
544,1m22A
545,5a4oA
546,6a9wA
547,6sgfB
548,3o7vX
549,2olmA
550,5ls7D
551,6iyyA
552,5ycaC
553,3jvoA
554,2i7hA
555,3ckcA
556,1ow1A
557,4q4w4
558,5cz3B
559,3daoA
560,5kzsA
561,6rxaA
562,6rswB
563,6c48C
564,5vogA
565,2cx1A
566,2i6hA
567,4hrsA
568,4a29A
569,3slrA
570,3d8dA
571,4wepB
572,4k7rA
573,4cogA
574,2giaB
575,3dhxA
576,5gimD
577,3l5iA
578,5vauH
579,5dn2F
580,3boeA
581,1u0sA
582,2wb0X
583,5cqgB
584,3e0zD
585,3e03A
586,4hkgA
587,4dlhA
588,5b1rA
589,1mk4A
590,4ei0A
591,3c2bA
592,3axjB
593,1t92A
594,3qbmA
595,6j98A
596,2qpvA
597,3vwaA
598,2oqqA
599,1zv1B
600,4otnA
601,3ig5A
602,1ylmA
603,2rafB
604,2qzbA
605,2wadA
606,2yzyA
607,4wmaD
608,3hs3A
609,5v1tA
610,2cviA
611,3mhsE
612,5xa5B
613,4n0nA
614,5m72B
615,1v72A
616,6cj6A
617,6aqkA
618,3qr2A
619,2wx3A
620,4xlyA
621,2ze3A
622,3cpxC
623,1wzzA
624,4jo7E
625,6cpyB
626,5ynxB
627,3rpzA
628,3e0eA
629,6gupA
630,6h7dA
631,5m33A
632,6gdxA
633,5e1vB
634,6vagB
635,4n04A
636,2xzeA
637,5m1xA
638,4gvfA
639,4z02A
640,1yocA
641,3hi2B
642,1rdtE
643,5xevA
644,3u4tA
645,4pe3A
646,1ckmA
647,1t01B
648,3m91A
649,4f87A
650,5l0lB
651,4r7fA
652,3h3gB
653,6o4mA
654,3ho7A
655,4igbC
656,4z1rA
657,3agyA
658,5t2pB
659,4bwvA
660,3jq1A
661,1usmA
662,4o00A
663,3r87A
664,1vqoU
665,5xg2A
666,1z3eA
667,5lx6A
668,6qrlA
669,4f06A
670,5hheD
671,5hubA
672,1zceA
673,1efdN
674,2g3wA
675,4ae4A
676,4n4jA
677,3x37A
678,6fz6A
679,3gfsA
680,5g51A
681,5afyL
682,2q4mA
683,4dz4A
684,6u83A
685,3g9gA
686,5ctvA
687,6fc1B
688,2a06G
689,2yg2A
690,4axoA
691,5zgxA
692,5wqjA
693,3colA
694,3fjsB
695,1xauA
696,3mswA
697,4aukA
698,4bjjB
699,5b2pA
700,5cajA
701,6aqeB
702,5mdiA
703,4gmoA
704,2a19A
705,5b66L
706,2p97A
707,4oevA
708,6jk4A
709,5bq8A
710,5zb0A
711,5o9mA
712,3ipfA
713,5uamA
714,4jiuA
715,2y4yA
716,1yixA
717,2azjA
718,4kh8A
719,6uxeB
720,1njhA
721,6v1cA
722,1nkdA
723,6emtA
724,2np3A
725,4bv4L
726,4w79A
727,2h9aA
728,4cz5A
729,1s7oA
730,2h0uA
731,3n6tA
732,3cvgA
733,1dypA
734,2omlA
735,4bq6D
736,5ku5A
737,6iefA
738,5fhkA
739,4mo1A
740,4tmxA
741,6dflA
742,3kizA
743,1h2kS
744,3og2A
745,5wriA
746,1cv8A
747,2qnuA
748,4nutB
749,5jnbE
750,1oj5A
751,4bpfA
752,2pywA
753,4w78C
754,6aonA
755,4ehcA
756,3h6jA
757,5a3dA
758,2i49A
759,4xbaB
760,6ouxA
761,4lvpA
762,3l1nA
763,3abiA
764,3klkA
765,1ydxA
766,4wj1A
767,3abhA
768,3u07A
769,1vkfA
770,3zxcA
771,1ahoA
772,3d30A
773,4gm6A
774,4hdeA
775,1jztA
776,2nx9A
777,2npsC
778,6gh3A
779,3ooxA
780,5w6yB
781,2xs1B
782,2i2oA
783,3pe5A
784,3n8bA
785,4j6oA
786,3iupB
787,4cj0A
788,1iapA
789,5ujuA
790,6r2hB
791,6ijeB
792,3ewtE
793,5j4uA
794,1z0wA
795,4onrA
796,4jp6A
797,2wzbA
798,4eo0A
799,3sjmA
800,4w66A
801,2iybE
802,4by8A
803,6ozuA
804,4yqdA
805,3f3bA
806,6itaA
807,6c72A
808,2wcwA
809,6hsjA
810,4xe7A
811,1ufyA
812,1lshA
813,5ilbA
814,4txdA
815,1z21A
816,1c7kA
817,3aa0C
818,2cveA
819,3g8yA
820,2pn1A
821,1khxA
822,1d2tA
823,2y65W
824,4i0xB
825,3u97A
826,3bjoA
827,3g2bA
828,3gnjA
829,4bgpA
830,1wcwA
831,5njlA
832,2oaaA
833,4uhcA
834,4rthA
835,5h2xB
836,1k77A
837,5qhhA
838,4s28A
839,5xauB
840,5zdqA
841,1ryoA
842,5hmqE
843,3ifeA
844,4nwbA
845,6icnB
846,1s3cA
847,6daoB
848,4yy2A
849,3n01A
850,3oopA
851,6mx3A
852,2rjfB
853,6nboA
854,3q23B
855,3zh9B
856,4gqbA
857,5y46A
858,6fthA
859,1zn6A
860,5bxgA
861,5lljA
862,2uurA
863,4uasA
864,3f8kA
865,3milA
866,3gn3A
867,2pd0A
868,6pwgA
869,1nxuA
870,4cj0B
871,5lalA
872,2qu7A
873,1qr0A
874,3kdeC
875,3x1lC
876,4i93A
877,2hboA
878,2z0bA
879,1atgA
880,3elkA
881,2aalA
882,4jmpA
883,4y7dB
884,3u2gA
885,5agrA
886,1ppjI
887,6l0vE
888,6c8cB
889,3bvxA
890,2zk9X
891,2etjA
892,5an5J
893,4v9f6
894,4i9xA
895,2e3hA
896,4o3vA
897,5kvcB
898,3sqnA
899,3rlfG
900,2yveA
901,3zpnA
902,2qhoB
903,3qksC
904,6ih0A
905,4peuA
906,6p2cC
907,2giyA
908,6n0kA
909,5d3qA
910,5lt5A
911,3oq4A
912,6gy5A
913,3wasA
914,2pw6A
915,4g78A
916,6nq4B
917,6k17B
918,2y0oA
919,6nsvA
920,3jxoA
921,5gsmB
922,5muxE
923,3fkaC
924,6du4A
925,4oqvA
926,1rcqA
927,4zw2B
928,2hxoA
929,6g3bA
930,3g3lA
931,4n8nA
932,5y1fA
933,2zviA
934,4xbzA
935,3dnhA
936,4m8rA
937,1jb7B
938,5j80A
939,5jcaS
940,5fnoA
941,4ee6A
942,3bkhA
943,4iabA
944,3d1pA
945,3lewA
946,1z9lA
947,4k4kA
948,2o99A
949,4la2A
950,5nf2A
951,3e8oB
952,5oe8A
953,3o6cA
954,3cp7A
955,1ef1C
956,5svhB
957,3fakA
958,4h3uA
959,6bhdA
960,5m45A
961,2czlA
962,1dcsA
963,5y6hA
964,4ijaA
965,4oh7A
966,1thtA
967,5kvsB
968,1u84A
969,5yjcA
970,5o9eA
971,1dowB
972,1qsuA
973,1sg4A
974,2pigA
975,5no8B
976,5g1xB
977,4uuyA
978,2c36A
979,5ykzA
980,5ls2A
981,3zrxA
982,1k8kD
983,6umhL
984,3on9A
985,4rptA
986,1u7kA
987,2ivnA
988,6n0dB
989,6rk1A
990,2etvA
991,4uciA
992,4zoqA
993,2gwfA
994,5nakA
995,2a6hE
996,6c4qA
997,5v7oA
998,3iuwB
999,1q87A
1000,3fkqA
1001,2we8A
1002,3cx5D
1003,4nn5B
1004,3gbvA
1005,1x91A
1006,4kt6B
1007,3r2cA
1008,4y1wA
1009,3mx7A
1010,4f1jA
1011,5ajoA
1012,1l6rA
1013,5b66A
1014,3fx3A
1015,4jzpA
1016,1vp8A
1017,3wocA
1018,6g0yH
1019,4in0A
1020,3lt7A
1021,3s64A
1022,3snoA
1023,5bovA
1024,4k12B
1025,1nv8A
1026,2z5wA
1027,4e15A
1028,2wtmA
1029,3fnbA
1030,4n7cA
1031,1qwdA
1032,4uslD
1033,3u52C
1034,2i5hA
1035,5l0rB
1036,3e35A
1037,2gu9A
1038,3u7zA
1039,5j4aA
1040,3lurB
1041,6n6jA
1042,4o65A
1043,1wy6A
1044,3gnaA
1045,6jchA
1046,5kvrA
1047,5ktcA
1048,2iw1A
1049,1q67A
1050,3w06A
1051,6ansA
1052,1yf3A
1053,4es7A
1054,1vpmA
1055,3dskA
1056,3gkrA
1057,6r2mA
1058,6eklB
1059,5ctaA
1060,2j0aA
1061,3ss7X
1062,4fcwA
1063,3rv1A
1064,4nm3B
1065,5n8aX
1066,4r81A
1067,1nz0A
1068,6fdfA
1069,5a0yC
1070,4kalA
1071,5kvmA
1072,2w3gA
1073,5xubA
1074,2aj6A
1075,2e12A
1076,4ts4A
1077,4lerA
1078,3hnwA
1079,4w8bA
1080,5x42C
1081,5ulmA
1082,5jvkA
1083,3f0dA
1084,3dacB
1085,6ey4A
1086,4hvkA
1087,3dveB
1088,4zvcA
1089,2dwkA
1090,3zlcA
1091,4x9zA
1092,1i4uA
1093,1m56D
1094,5b5zA
1095,6qq4A
1096,4c1aA
1097,3bm7A
1098,2c92A
1099,4yz6A
1100,1su1A
1101,3dcmX
1102,3w7yA
1103,6t3zA
1104,1vpqA
1105,3n3yA
1106,6jwfA
1107,4m00A
1108,4bxmA
1109,2rciA
1110,4xduA
1111,3bptA
1112,3e23A
1113,5g4kA
1114,1hq0A
1115,2a90A
1116,4rocA
1117,2jdcA
1118,3fvwA
1119,2xzeQ
1120,3f1lA
1121,2oztA
1122,1c4oA
1123,4hpmA
1124,5lxeA
1125,2pa7A
1126,2xkiA
1127,5cd2A
1128,1sgwA
1129,4ysiA
1130,3jrtA
1131,5ky4B
1132,1gs9A
1133,3eqzA
1134,3iuuA
1135,4l9nA
1136,4jgiA
1137,4hkhA
1138,4f9cB
1139,6q41A
1140,5v1uF
1141,1q08A
1142,4ff5A
1143,4a4yA
1144,4ovyA
1145,6eu4A
1146,5u2pA
1147,6r15A
1148,4zwoA
1149,5e3eE
1150,3nehA
1151,3c75H
1152,1jw9B
1153,6shuA
1154,4lowA
1155,3m1uB
1156,3eglA
1157,3feuA
1158,5tipC
1159,6y2dD
1160,2i6dA
1161,2i8tA
1162,6pnyA
1163,3lmzA
1164,6gumB
1165,2pyqA
1166,2nudC
1167,6ao7A
1168,6e08L
1169,5dm2A
1170,3ib5A
1171,3qhoA
1172,4fibA
1173,5gpyA
1174,3p0kA
1175,4f7uQ
1176,4o66A
1177,1dekA
1178,4m3pA
1179,3no7A
1180,5cofA
1181,4fdbA
1182,3i2kA
1183,6cj7A
1184,5we0G
1185,4wvrA
1186,2i8dA
1187,3r84A
1188,3sxmA
1189,2dyjA
1190,3v75A
1191,4kdwA
1192,6fbkP
1193,1dqpA
1194,5u5nA
1195,3s98A
1196,4h83A
1197,1peaA
1198,2vqgA
1199,5vl9B
1200,3shoA
1201,3im1A
1202,6g1cV
1203,3otdA
1204,3lwcA
1205,6cciA
1206,3k2yA
1207,3mkqB
1208,1ayoA
1209,3atsA
1210,2b97A
1211,2yvtA
1212,3uplA
1213,5e0yA
1214,2ag4A
1215,2ekdA
1216,4exrA
1217,4d7eA
1218,2oocA
1219,5j7rA
1220,2p1rD
1221,3kaeA
1222,4m51A
1223,3e98A
1224,1np0A
1225,3hhfB
1226,5xlyB
1227,3m89A
1228,4dynA
1229,3oe3A
1230,5x9iA
1231,1l2wI
1232,1gzsB
1233,3evnA
1234,4ky9A
1235,5xhbA
1236,5ewuA
1237,2d10E
1238,5a0nA
1239,5olpA
1240,3hgtA
1241,5c5gA
1242,3l8cA
1243,6fuuA
1244,3zpxA
1245,1kolA
1246,3fdhA
1247,4ay0A
1248,6pczA
1249,2i53A
1250,2zejA
1251,1mqvA
1252,4zl4A
1253,2opwA
1254,2ou6A
1255,5wsyA
1256,4ociA
1257,5z08C
1258,4qncA
1259,6sj8A
1260,6ny9B
1261,3on2A
1262,5ly8A
1263,2ixsA
1264,3glvA
1265,1mxrA
1266,6q6nA
1267,6f91A
1268,3b8xA
1269,3leqA
1270,3f6vA
1271,6mx6C
1272,4g7xA
1273,3o2iA
1274,5d16B
1275,2xusA
1276,3cl6A
1277,6au8A
1278,4ne3A
1279,4jf8A
1280,3kbgA
1281,3rwxA
1282,3llkA
1283,6nz4A
1284,2uvpA
1285,3ge3E
1286,5z1gA
1287,3a57A
1288,6nb0A
1289,3ostA
1290,1t6t1
1291,2pu3A
1292,4dpbX
1293,2rinA
1294,2qedA
1295,5cyaA
1296,1rz3A
1297,3t47A
1298,3dxeA
1299,1k4zA
1300,5wf2A
1301,2yktA
1302,5bu3A
1303,1mtyG
1304,1j3wA
1305,5hwvA
1306,2uu8A
1307,6r4zA
1308,3ii2A
1309,6d55B
1310,2z84A
1311,3ju4A
1312,2uwjE
1313,5iyzF
1314,1y96B
1315,3qwlA
1316,5apgA
1317,5z5kB
1318,2imrA
1319,5lsfC
1320,4w7wA
1321,2xijA
1322,2yjlA
1323,5xftA
1324,5cesA
1325,6fueA
1326,2aibA
1327,3sxuB
1328,3a8rA
1329,2inwA
1330,5w0gA
1331,3jqyB
1332,2y9uA
1333,3h8dE
1334,4al0A
1335,4c5wA
1336,3nvsA
1337,5yi7B
1338,6nzsA
1339,4xjyA
1340,3pjpA
1341,1j1tA
1342,1osyA
1343,1n1cA
1344,1tu9A
1345,5bzaC
1346,4n6kA
1347,4ag6A
1348,6qspB
1349,4m7oA
1350,3dxpA
1351,1hdhB
1352,4p5eA
1353,2r60A
1354,6dqhA
1355,6bevA
1356,5vfbA
1357,2xmjA
1358,5awsA
1359,3g74A
1360,4s3oC
1361,3d3bJ
1362,3n3uA
1363,3echC
1364,6pd2A
1365,5ydeA
1366,6hxsA
1367,5krtA
1368,5lx9A
1369,3mn5S
1370,4p82A
1371,2cxiA
1372,4y9vA
1373,5yr0B
1374,6ae8C
1375,6q5aA
1376,3powA
1377,3dlqR
1378,4ghbA
1379,4tyzA
1380,1cl8A
1381,2x65A
1382,5afoA
1383,4v1tA
1384,3pijA
1385,3cwrB
1386,1wkqA
1387,5ud5B
1388,5jz8B
1389,5we0K
1390,1k78A
1391,3dwcA
1392,2jekA
1393,1bm9A
1394,4f55A
1395,6ebuA
1396,4jrfA
1397,3ui4A
1398,3s25A
1399,3huuA
1400,6a0cA
1401,2f4mB
1402,4qq6A
1403,1yleA
1404,2vjwA
1405,5z5oB
1406,1zwwA
1407,1nkrA
1408,1t77A
1409,1c0pA
1410,5a99A
1411,4xwwA
1412,2bu3A
1413,1w6kA
1414,4ri5A
1415,6h24A
1416,3n4jA
1417,4eziA
1418,2oa2A
1419,5fg0A
1420,6gmoA
1421,6uakA
1422,5bykA
1423,4rzlA
1424,4zgmB
1425,4rhzB
1426,3op6A
1427,4il6J
1428,4p3fA
1429,6d0hB
1430,1gqeA
1431,3e6mA
1432,6ckoA
1433,1dyoA
1434,1dusA
1435,1sknP
1436,6iipA
1437,1u6tA
1438,4fhrB
1439,2z2nA
1440,2f20A
1441,2g3rA
1442,6punE
1443,6ud7A
1444,2f2hA
1445,2oxlA
1446,6ax7B
1447,5fvnA
1448,2cnqA
1449,4z0yA
1450,5nl9A
1451,1hlbA
1452,1z67A
1453,5gxwB
1454,3orhA
1455,4l9pA
1456,4e29A
1457,1gjwA
1458,4gjrA
1459,2v3iA
1460,4wk0A
1461,2vpbB
1462,6bzgB
1463,4pvzC
1464,2xfvA
1465,3bb0A
1466,2f9iD
1467,5boxA
1468,5m0yB
1469,4c97A
1470,4hh3C
1471,1mvfD
1472,6am3X
1473,2jkuA
1474,2qlcA
1475,2nvwA
1476,5chsA
1477,4h6xA
1478,6ompA
1479,5u3aA
1480,4v0hC
1481,2x5hA
1482,5he9E
1483,6i2pD
1484,3dn7A
1485,6vg1B
1486,4etrA
1487,4devA
1488,3qfmA
1489,2oixA
1490,3oulA
1491,4qxbB
1492,3cmnA
1493,5jbxA
1494,3fjvA
1495,6f43A
1496,1ok0A
1497,6g15A
1498,2j9wA
1499,4nrhB
1500,4qlpA
1501,3o2tA
1502,4i2oA
1503,3afoA
1504,1tp6A
1505,5mbxA
1506,5yjeA
1507,2q97T
1508,5tgfA
1509,5z5eB
1510,3oioA
1511,5t1pA
1512,6hk9B
1513,2pkdA
1514,3a8gB
1515,3coqA
1516,5hzdA
1517,2dc4A
1518,3pj0A
1519,3ng9A
1520,6f5xA
1521,6ey6A
1522,5w8eA
1523,2je8A
1524,2okxA
1525,3h49A
1526,4s39A
1527,3k8gA
1528,3m73A
1529,1vqoM
1530,5gdsI
1531,4hbzA
1532,1no1A
1533,2hi0A
1534,4h2wC
1535,1hqz1
1536,3dvoA
1537,5k8pA
1538,3uidA
1539,4n7wA
1540,3f9sB
1541,2ev1A
1542,2yv4A
1543,1n3lA
1544,3lofA
1545,4rmmA
1546,3wkxA
1547,3nytA
1548,5izsA
1549,5uc0A
1550,1j27A
1551,1ypyA
1552,3g85A
1553,2fbiA
1554,3ghjA
1555,4necA
1556,5znjA
1557,6hurA
1558,1ls1A
1559,6exfA
1560,3l49A
1561,2dskA
1562,3qb8A
1563,2ww6A
1564,3lvuA
1565,3u9lA
1566,5hwnA
1567,2qikA
1568,4bgbA
1569,4iefA
1570,3u5sA
1571,4il7A
1572,1uv7A
1573,1yf2A
1574,3bbjA
1575,1tc3C
1576,2vs0A
1577,1pyaB
1578,2wt7B
1579,3m7aB
1580,3gybA
1581,2r6uA
1582,4k12A
1583,2gpoC
1584,5xj1A
1585,1nu0A
1586,1vqoP
1587,6sf4B
1588,5nw3A
1589,6spoA
1590,4un1A
1591,4u3eB
1592,3retA
1593,3sumA
1594,3ktaC
1595,2e56A
1596,6d2yA
1597,1g12A
1598,2aefA
1599,1c7sA
1600,4cdjA
1601,4mudA
1602,3fy6A
1603,4pqhA
1604,6ud7D
1605,4ejqA
1606,5oq3A
1607,6ggrB
1608,1i1rB
1609,1ejfB
1610,1xcrA
1611,1cxqA
1612,2v0oA
1613,5m26A
1614,6d9nA
1615,4tl6A
1616,6a02A
1617,2wdqD
1618,3vp7A
1619,3df8A
1620,5v8kB
1621,3ey5A
1622,3a9sA
1623,1g2cB
1624,2qv5A
1625,2e9xD
1626,4gucA
1627,2prvA
1628,3e57A
1629,4maxA
1630,6isaA
1631,5xktA
1632,4wy4A
1633,3oqqA
1634,5d8vA
1635,3grdB
1636,3os4A
1637,2f49C
1638,5nqoA
1639,6nx5C
1640,3fh1A
1641,4e72A
1642,5n3jA
1643,3q1tA
1644,2x78A
1645,4fx5A
1646,5eq0A
1647,5absA
1648,2omkA
1649,6fu9A
1650,1jr2A
1651,2nwiA
1652,1vhtA
1653,1c5eA
1654,1uvqC
1655,3pivA
1656,1devB
1657,3og6B
1658,4p1nC
1659,4lrzE
1660,2ywvA
1661,6e6qB
1662,6icrB
1663,4lebA
1664,3dmeA
1665,1r9lA
1666,1d2nA
1667,2vv6A
1668,6o5kA
1669,1kq3A
1670,1oi0A
1671,5he9A
1672,3b0dT
1673,2ap3A
1674,1rj8A
1675,1munA
1676,5ijaA
1677,3spaA
1678,3njdA
1679,6iuqA
1680,3duwA
1681,3c8lB
1682,4ldnA
1683,3k2oA
1684,4m85A
1685,3fzxA
1686,2ra8A
1687,3frnA
1688,4u1eG
1689,3zy7A
1690,6ff0A
1691,2vxpA
1692,3ocuA
1693,4qdnA
1694,2zdsE
1695,5uebA
1696,3v7dC
1697,3d59A
1698,5nfmA
1699,2r6jA
1700,5t5iC
1701,3vz9B
1702,2zxiA
1703,6mlsB
1704,1ufiA
1705,2d7vA
1706,2db0A
1707,2hw2A
1708,6d92A
1709,1rutX
1710,3ag7A
1711,3no3A
1712,3c8wC
1713,3nngA
1714,5aooA
1715,1e7lA
1716,5jdaA
1717,6pjvA
1718,1ez3A
1719,4txrB
1720,5b5iA
1721,4ut1A
1722,1oz2A
1723,1hi9B
1724,5e8jC
1725,3u9wA
1726,4lv5A
1727,3m31A
1728,5o2dA
1729,5hdwA
1730,1s5uA
1731,6elvA
